name,stance,height_in,weight_lb,reach_in,date_of_birth,record,source_url
Shauna Bannon,Switch,,,65.0,,,
Tristan Arenal,Orthodox,,,,,,
Tommy Petersen,Orthodox,,,,,,
Dan Argueta,Southpaw,,,68.0,,,
Cody Haddon,Orthodox,,,69.0,,,
Jean Matsumoto,Orthodox,,,68.0,,,
Miles Johns,Orthodox,,,68.0,,,
Ronnie Lawrence,Switch,,,68.0,,,
Nick Aguirre,Southpaw,,,74.0,,,
Damon Jackson,Switch,,,71.0,,,
Hashem Arkhagha,Orthodox,,,75.0,,,
AJ Dobson,Orthodox,,,76.0,,,
Andrei Arlovski,Orthodox,,,77.0,,,
Martin Buday,Orthodox,,,77.0,,,
Waldo Cortes Acosta,,,,,,,
Don'Tale Mayes,Orthodox,,,81.0,,,
Jake Collier,Orthodox,,,78.0,,,
Jared Vanderaa,Orthodox,,,80.0,,,
Carlos Felipe,Orthodox,,,75.0,,,
Chase Sherman,Orthodox,,,78.0,,,
Tom Aspinall,Orthodox,,,78.0,,,
Tanner Boser,Orthodox,,,75.0,,,
Philipe Lins,Orthodox,,,78.0,,,
Jairzinho Rozenstruik,Orthodox,,,78.0,,,
Ben Rothwell,Orthodox,,,78.0,,,
Augusto Sakai,Orthodox,,,77.0,,,
Walt Harris,Southpaw,,,77.0,,,
Shamil Abdurakhimov,Orthodox,,,76.0,,,
Tai Tuivasa,Southpaw,,,75.0,,,
Stefan Struve,Orthodox,,,84.0,,,
Junior Albini,Orthodox,,,74.0,,,
Marcin Tybura,Orthodox,,,78.0,,,
Francis Ngannou,Orthodox,,,83.0,,,
Josh Barnett,Orthodox,,,78.0,,,
Alistair Overeem,Orthodox,,,80.0,,,
Stipe Miocic,Orthodox,,,80.0,,,
Frank Mir,Southpaw,,,79.0,,,
Travis Browne,Orthodox,,,79.0,,,
Antonio Silva,Orthodox,,,82.0,,,
Brendan Schaub,Orthodox,,,78.0,,,
