fight_id,event_name,fight_date,event_location,fighter_a,fighter_b,winner,weight_class,method,finish_round,finish_time,scheduled_rounds,main_event,source_url
38,Meca 8,2003-05-16,,Angelo Antonio,Mauricio Rua,Mauricio Rua,Unknown,KO/TKO Kicks,1.0,0:55,3,0,
39,DWCS 8.9,2024-10-08,,Vanilto Antunes,Islam Dulatov,Islam Dulatov,Unknown,KO/TKO Elbow,1.0,2:44,3,0,
40,UFC Fight Night: Rockhold vs. Branch,2017-09-16,,Azunna Anyanwu,Justin Ledet,Justin Ledet,Unknown,S-DEC,3.0,5:00,3,0,
41,DWCS 1.1,2017-07-11,,Azunna Anyanwu,Greg Rebello,Azunna Anyanwu,Unknown,KO/TKO Punch,2.0,3:04,3,0,
42,UFC Fight Night: Cowboy vs. Edwards,2018-06-23,,Shinsho Anzai,Jake Matthews,Jake Matthews,Unknown,SUB Rear Naked Choke,1.0,2:44,3,0,
43,UFC Fight Night: Saint Preux vs. Okami,2017-09-22,,Shinsho Anzai,Luke Jumeau,Shinsho Anzai,Unknown,U-DEC,3.0,5:00,3,0,
44,UFC Fight Night: Barnett vs Nelson,2015-09-26,,Shinsho Anzai,Roger Zapata,Shinsho Anzai,Unknown,KO/TKO,3.0,0:47,3,0,
45,UFC Fight Night: Bisping vs Le,2014-08-23,,Shinsho Anzai,Alberto Mina,Alberto Mina,Unknown,KO/TKO Punch,1.0,4:17,3,0,
46,Road to UFC 4.1 + 4.2,2025-05-22,,Jin Aoi,ChangMin Yoon,ChangMin Yoon,Unknown,S-DEC,3.0,5:00,3,0,
47,DREAM 18,2012-12-31,,Shinya Aoki,Antonio McKee,Shinya Aoki,Unknown,KO/TKO Punch,2.0,0:24,3,0,
48,DREAM 17,2011-09-24,,Shinya Aoki,Rob McCullough,Shinya Aoki,Unknown,SUB Neck Crank,1.0,4:57,3,0,
49,DREAM - Fight for Japan,2011-05-29,,Shinya Aoki,Rich Clementi,Shinya Aoki,Unknown,SUB Neck Crank,2.0,2:32,3,0,
50,Strikeforce - Diaz vs. Daley,2011-04-09,,Shinya Aoki,Lyle Beerbohm,Shinya Aoki,Unknown,SUB Neck Crank,1.0,1:33,3,0,
51,DEEP 50 - Impact,2010-10-24,,Shinya Aoki,Yokthai Sithoar,Shinya Aoki,Unknown,SUB Keylock,1.0,1:00,3,0,
52,DREAM 16,2010-09-25,,Shinya Aoki,Marcus Aurelio,Shinya Aoki,Unknown,U-DEC,2.0,5:00,3,0,
53,Dynamite!! 2009,2009-12-31,,Shinya Aoki,Mizuto Hirota,Shinya Aoki,Unknown,SUB Other - Lock,1.0,1:17,3,0,
54,DREAM 10: Welterweight Grand Prix 2009 Final Round,2009-07-20,,Shinya Aoki,Vitor Ribeiro,Shinya Aoki,Unknown,U-DEC,2.0,5:00,3,0,
