name,stance,height_in,weight_lb,reach_in,date_of_birth,record,source_url,nickname,weight_class
Julius Anglickas,Orthodox,75.0,205.0,,,,,No Nickname,
Karl Reed,Orthodox,75.0,205.0,78.0,,,,No Worries,
Collin Anglin,Orthodox,69.0,145.0,71.0,,,,No Nickname,Featherweight
Sean Woodson,Orthodox,74.0,145.0,78.0,,,,The Sniper,Featherweight
Melsik Baghdasaryan,Southpaw,69.0,145.0,70.0,,,,The Gun,Featherweight
Muhammad Naimov,Orthodox,69.0,145.0,70.0,,,,Hillman,Featherweight
Chad Anheliger,Orthodox,66.0,135.0,64.0,,,,The Monster,Bantamweight
Cody Gibson,Orthodox,61.0,135.0,71.0,,,,The Renegade,Bantamweight
Charalampos Grigoriou,Orthodox,67.0,135.0,67.0,,,,Ferocious,Bantamweight
Jose Johnson,Orthodox,72.0,125.0,71.0,,,,Zhakwarius,Bantamweight
Alatengheili,Orthodox,65.0,135.0,66.0,,,,The Mongolian Knight,Bantamweight
Jesse Strader,Orthodox,67.0,135.0,70.0,,,,Sui Generis,Bantamweight
Muin Gafurov,Orthodox,67.0,135.0,68.0,,,,Tajik,Bantamweight
Yoji Anjo,Orthodox,71.0,205.0,,,,,Mr. 200%,Middleweight
Ryan Gracie,Orthodox,69.0,200.0,,,,,No Nickname,
Matt Lindland,Southpaw,72.0,185.0,74.0,,,,The Law,Middleweight
Murilo Bustamante,Orthodox,74.0,183.0,,,,,No Nickname,Middleweight
David Abbott,Switch,72.0,265.0,,,,,Tank,Heavyweight
Magomed Ankalaev,Orthodox,75.0,205.0,75.0,,,,No Nickname,Light Heavyweight
Aleksandar Rakic,Orthodox,76.0,205.0,78.0,,,,Rocket,Light Heavyweight
Johnny Walker,Orthodox,78.0,205.0,82.0,,,,No Nickname,Light Heavyweight
Anthony Smith,Orthodox,76.0,205.0,76.0,,,,Lionheart,Light Heavyweight
Thiago Santos,Orthodox,74.0,205.0,76.0,,,,Marreta,Light Heavyweight
Volkan Oezdemir,Orthodox,74.0,205.0,75.0,,,,No Time,Light Heavyweight
Nikita Krylov,Orthodox,75.0,205.0,77.0,,,,The Miner,Catch Weight
Ion Cutelaba,Southpaw,73.0,205.0,75.0,,,,The Hulk,Light Heavyweight
Dalcha Lungiambula,Orthodox,68.0,185.0,76.0,,,,Champion,Middleweight
Klidson Abreu,Orthodox,72.0,205.0,74.0,,,,White Bear,Light Heavyweight
Marcin Prachnio,Orthodox,75.0,205.0,73.0,,,,No Nickname,Light Heavyweight
Paul Craig,Orthodox,75.0,205.0,76.0,,,,Bearjew,Light Heavyweight
Gadzhimurad Antigulov,Orthodox,71.0,205.0,70.0,,,,No Nickname,Light Heavyweight
Maxim Grishin,Orthodox,75.0,205.0,78.0,,,,Maximus,Heavyweight
Michal Oleksiejczuk,Southpaw,72.0,185.0,74.0,,,,Hussar,Middleweight
Joachim Christensen,Orthodox,75.0,205.0,76.0,,,,No Nickname,Light Heavyweight
Marcos Rogerio de Lima,Orthodox,73.0,253.0,75.0,,,,Pezao,Heavyweight
Adam Antolin,Orthodox,65.0,125.0,63.0,,,,Captain Chaos,
Casey Kenney,Southpaw,67.0,135.0,68.0,,,,No Nickname,Catch Weight
Ronald Carillo,Orthodox,,125.0,,,,,No Nickname,
Javi Alanis,Orthodox,66.0,135.0,,,,,No Nickname,
Hugo Govea,Orthodox,,,,,,,No Nickname,
Angelo Antonio,Orthodox,,205.0,,,,,No Nickname,
Mauricio Rua,Orthodox,73.0,205.0,76.0,,,,Shogun,Light Heavyweight
Vanilto Antunes,Orthodox,72.0,170.0,72.0,,,,No Nickname,
Islam Dulatov,Orthodox,75.0,170.0,75.0,,,,The Ripper,Welterweight
Azunna Anyanwu,Orthodox,73.0,251.0,,,,,Zulu,Heavyweight
Justin Ledet,Orthodox,76.0,205.0,80.0,,,,El Blanco,Heavyweight
Greg Rebello,Southpaw,72.0,240.0,73.0,,,,Ribz,
Shinsho Anzai,Orthodox,67.0,170.0,70.0,,,,Animal,Welterweight
Jake Matthews,Orthodox,71.0,170.0,73.0,,,,The Celtic Kid,Welterweight
Luke Jumeau,Orthodox,71.0,170.0,72.0,,,,The Jedi,Welterweight
Roger Zapata,Southpaw,71.0,170.0,,,,,Viva,Welterweight
Alberto Mina,Orthodox,72.0,170.0,77.0,,,,Soldier of God,Welterweight
Jin Aoi,Orthodox,66.0,145.0,68.0,,,,No Nickname,
ChangMin Yoon,Orthodox,68.0,145.0,70.0,,,,The Big Heart,
Shinya Aoki,Southpaw,71.0,154.0,,,,,Tobikan Judan,
Antonio McKee,Southpaw,68.0,155.0,,,,,Mandingo,Lightweight
Rob McCullough,Orthodox,69.0,155.0,69.0,,,,Razor,
Rich Clementi,Southpaw,69.0,155.0,72.0,,,,No Love,Lightweight
Lyle Beerbohm,Southpaw,61.0,155.0,,,,,Fancy Pants,
Yokthai Sithoar,Orthodox,67.0,143.0,,,,,No Nickname,
Marcus Aurelio,Orthodox,61.0,155.0,74.0,,,,Maximus,Lightweight
Mizuto Hirota,Orthodox,67.0,155.0,67.0,,,,Pugnus,Featherweight
Vitor Ribeiro,Orthodox,68.0,154.0,,,,,Shaolin,
Hayato Sakurai,Orthodox,67.0,168.0,,,,,Mach,Welterweight
David Gardner,Orthodox,71.0,155.0,,,,,No Nickname,
Eddie Alvarez,Orthodox,69.0,155.0,69.0,,,,No Nickname,Lightweight
Todd Moore,Southpaw,69.0,170.0,71.0,,,,No Nickname,
Caol Uno,Southpaw,67.0,155.0,70.0,,,,Uno Shoten,Lightweight
Katsuhiko Nagata,Southpaw,67.0,154.0,,,,,No Nickname,
Gesias Cavalcante,Orthodox,68.0,155.0,71.0,,,,JZ,
Bu-Kyung Jung,Orthodox,67.0,154.0,,,,,No Nickname,
Brian Lo-A-Njoe,Orthodox,67.0,155.0,,,,,No Nickname,
Akira Kikuchi,Orthodox,68.0,155.0,,,,,No Nickname,
Joachim Hansen,Southpaw,67.0,150.0,,,,,Hellboy,
Clay French,Southpaw,67.0,161.0,,,,,No Nickname,
George Sotiropoulos,Orthodox,61.0,155.0,71.0,,,,No Nickname,Lightweight
Jason Black,Orthodox,68.0,155.0,,,,,The Black Legion,Lightweight
Kuniyoshi Hironaka,Orthodox,61.0,168.0,70.0,,,,No Nickname,Welterweight
Keith Wisniewski,Orthodox,72.0,170.0,,,,,The Polish Connection,Welterweight
Jutaro Nakao,Southpaw,69.0,170.0,,,,,No Nickname,Welterweight
Aoriqileng,Orthodox,67.0,135.0,69.0,,,,The Mongolian Murderer,Bantamweight
Raul Rosas Jr.,Switch,69.0,135.0,67.0,,,,El Nino Problema,Bantamweight
Daniel Marcos,Orthodox,67.0,135.0,69.0,,,,Soncora,Bantamweight
Johnny Munoz,Orthodox,69.0,135.0,71.0,,,,Kid Kvenbo,Bantamweight
Aiemann Zahabi,Orthodox,68.0,135.0,68.0,,,,No Nickname,Bantamweight
Jay Perrin,Switch,67.0,135.0,67.0,,,,The Joker,Bantamweight
Cameron Else,Switch,69.0,135.0,71.0,,,,Camchida,Bantamweight
Cody Durden,Southpaw,67.0,125.0,67.0,,,,Custom Made,Bantamweight
Jeff Molina,Orthodox,66.0,125.0,69.0,,,,El Jefe,Flyweight
Josh Appelt,Southpaw,61.0,255.0,,,,,No Nickname,
Jeff Hughes,Orthodox,74.0,250.0,77.0,,,,Lights Out,Heavyweight
Erik Apple,Orthodox,72.0,170.0,,,,,No Nickname,
Ryan Larson,Orthodox,,170.0,,,,,No Nickname,
Bobby Voelker,Orthodox,72.0,170.0,74.0,,,,Vicious,Welterweight
Brock Larson,Southpaw,71.0,170.0,71.0,,,,No Nickname,Welterweight
Kenji Arai,Southpaw,61.0,145.0,,,,,No Nickname,
Jens Pulver,Southpaw,67.0,145.0,70.0,,,,Little Evil,Lightweight
Romie Aram,Orthodox,61.0,170.0,,,,,No Nickname,Welterweight
Dave Strasser,Orthodox,61.0,170.0,,,,,No Nickname,Welterweight
Joe Stevenson,Orthodox,67.0,145.0,70.0,,,,Daddy,Lightweight
Felipe Arantes,Orthodox,68.0,135.0,73.0,,,,Sertanejo,Bantamweight
Song Yadong,Orthodox,68.0,135.0,67.0,,,,Kung Fu Kid,Bantamweight
Josh Emmett,Orthodox,66.0,145.0,70.0,,,,CC0,Featherweight
Erik Perez,Orthodox,68.0,135.0,68.0,,,,Goyito,Bantamweight
Jerrod Sanders,Orthodox,68.0,135.0,72.0,,,,J-Reazie,Bantamweight
Yves Jabouin,Orthodox,67.0,135.0,68.0,,,,Tiger,Bantamweight
Andre Fili,Orthodox,71.0,145.0,74.0,,,,Touchy,Featherweight
Maximo Blanco,Orthodox,68.0,145.0,71.0,,,,Maxi,Featherweight
Edimilson Souza,Orthodox,72.0,145.0,74.0,,,,Kevin,Featherweight
Godofredo Pepey,Orthodox,67.0,145.0,73.0,,,,No Nickname,Featherweight
Milton Vieira,Orthodox,72.0,145.0,,,,,Miltinho,Featherweight
Antonio Carvalho,Orthodox,69.0,145.0,70.0,,,,Pato,Featherweight
Iuri Alcantara,Southpaw,69.0,135.0,71.0,,,,Marajo,Bantamweight
Igor Araujo,Orthodox,73.0,170.0,77.0,,,,No Nickname,Welterweight
Sean Strickland,Orthodox,73.0,185.0,76.0,,,,No Nickname,Middleweight
George Sullivan,Orthodox,72.0,170.0,73.0,,,,The Silencer,Welterweight
Danny Mitchell,Orthodox,74.0,170.0,,,,,The Cheesecake Assassin,Welterweight
Ildemar Alcantara,Orthodox,74.0,185.0,78.0,,,,Marajo,Middleweight
Viviane Araujo,Orthodox,64.0,125.0,68.0,,,,Vivi,Women's Flyweight
Tracy Cortez,Orthodox,65.0,125.0,65.0,,,,No Nickname,Women's Flyweight
Karine Silva,Orthodox,65.0,125.0,67.0,,,,Killer,Women's Flyweight
Natalia Silva,Southpaw,64.0,125.0,65.0,,,,No Nickname,Women's Flyweight
Jennifer Maia,Orthodox,64.0,125.0,64.0,,,,No Nickname,Women's Flyweight
Amanda Ribas,Orthodox,64.0,115.0,66.0,,,,No Nickname,Women's Strawweight
Alexa Grasso,Orthodox,65.0,125.0,66.0,,,,No Nickname,Women's Flyweight
Andrea Lee,Orthodox,66.0,125.0,69.0,,,,KGB,Women's Flyweight
Katlyn Cerminara,Orthodox,69.0,125.0,68.0,,,,Blonde Fighter,Women's Flyweight
Roxanne Modafferi,Orthodox,67.0,125.0,69.0,,,,The Happy Warrior,Women's Flyweight
Montana De La Rosa,Orthodox,67.0,125.0,68.0,,,,No Nickname,Women's Flyweight
Jessica Eye,Orthodox,66.0,125.0,66.0,,,,Evil,Women's Flyweight
Alexis Davis,Orthodox,66.0,135.0,68.0,,,,No Nickname,Women's Bantamweight
Talita Bernardo,Orthodox,64.0,135.0,68.0,,,,No Nickname,Women's Bantamweight
Julio Arce,Southpaw,67.0,145.0,70.0,,,,No Nickname,Featherweight
Herbert Burns,Orthodox,69.0,145.0,73.0,,,,The Blaze,Catch Weight
Montel Jackson,Southpaw,61.0,135.0,75.0,,,,Quik,Bantamweight
Daniel Santos,Orthodox,67.0,145.0,67.0,,,,Willycat,Catch Weight
Andre Ewell,Southpaw,68.0,145.0,75.0,,,,Mr. Highlight,Bantamweight
Hakeem Dawodu,Orthodox,68.0,145.0,73.0,,,,Mean,Featherweight
Julian Erosa,Southpaw,73.0,145.0,74.0,,,,Juicy J,Featherweight
Sheymon Moraes,Orthodox,68.0,145.0,72.0,,,,No Nickname,Featherweight
Daniel Teymur,Orthodox,65.0,145.0,69.0,,,,Kid Dynamite,Featherweight
Dan Ige,Orthodox,67.0,145.0,71.0,,,,50K,Featherweight
Peter Petties,Southpaw,71.0,145.0,72.0,,,,The Joker,
Alice Ardelean,Orthodox,63.0,115.0,62.0,,,,No Nickname,Women's Strawweight
Montserrat Conejo Ruiz,Southpaw,60.0,115.0,61.0,,,,No Nickname,Women's Strawweight
Rayanne dos Santos,Orthodox,62.0,115.0,62.0,,,,No Nickname,Women's Strawweight
Melissa Martinez,Southpaw,62.0,115.0,66.0,,,,Super Mely,Women's Strawweight
Shauna Bannon,Switch,65.0,115.0,65.0,,,,Mama B,Women's Strawweight
Tristan Arenal,Orthodox,,155.0,,,,,No Nickname,
Tommy Petersen,Orthodox,,155.0,,,,,No Nickname,
Dan Argueta,Southpaw,67.0,135.0,68.0,,,,The Determined,Bantamweight
Cody Haddon,Orthodox,67.0,135.0,69.0,,,,No Nickname,Bantamweight
Jean Matsumoto,Orthodox,66.0,135.0,68.0,,,,No Nickname,Bantamweight
Miles Johns,Orthodox,67.0,135.0,68.0,,,,Chapo,Bantamweight
Ronnie Lawrence,Switch,68.0,135.0,68.0,,,,The Heat,Bantamweight
Nick Aguirre,Southpaw,69.0,135.0,74.0,,,,Slick,Bantamweight
Damon Jackson,Switch,71.0,155.0,71.0,,,,The Leech,Featherweight
Hashem Arkhagha,Orthodox,74.0,185.0,75.0,,,,No Nickname,
AJ Dobson,Orthodox,73.0,185.0,76.0,,,,No Nickname,Middleweight
Andrei Arlovski,Orthodox,75.0,240.0,77.0,,,,The Pitbull,Heavyweight
Martin Buday,Orthodox,76.0,265.0,77.0,,,,Badys,Heavyweight
Waldo Cortes Acosta,Orthodox,76.0,260.0,78.0,,,,Salsa Boy,Heavyweight
Don'Tale Mayes,Orthodox,78.0,260.0,81.0,,,,Lord Kong,Heavyweight
Jake Collier,Orthodox,75.0,230.0,78.0,,,,The Prototype,Heavyweight
Jared Vanderaa,Orthodox,76.0,265.0,80.0,,,,No Nickname,Heavyweight
Carlos Felipe,Orthodox,72.0,245.0,75.0,,,,Boi,Heavyweight
Chase Sherman,Orthodox,76.0,250.0,78.0,,,,The Vanilla Gorilla,Heavyweight
Tom Aspinall,Orthodox,77.0,255.0,78.0,,,,No Nickname,Heavyweight
Tanner Boser,Orthodox,74.0,205.0,75.0,,,,The Bulldozer,Light Heavyweight
Philipe Lins,Orthodox,74.0,205.0,78.0,,,,Monstro,Light Heavyweight
Jairzinho Rozenstruik,Orthodox,74.0,242.0,78.0,,,,Bigi Boy,Heavyweight
Ben Rothwell,Orthodox,76.0,265.0,78.0,,,,No Nickname,Heavyweight
Augusto Sakai,Orthodox,75.0,265.0,77.0,,,,No Nickname,Heavyweight
Walt Harris,Southpaw,77.0,250.0,77.0,,,,The Big Ticket,Heavyweight
Shamil Abdurakhimov,Orthodox,75.0,235.0,76.0,,,,Abrek,Heavyweight
Tai Tuivasa,Southpaw,74.0,264.0,75.0,,,,Bam Bam,Heavyweight
Stefan Struve,Orthodox,83.0,265.0,84.0,,,,Skyscraper,Heavyweight
Junior Albini,Orthodox,75.0,264.0,74.0,,,,Baby,Heavyweight
Marcin Tybura,Orthodox,75.0,246.0,78.0,,,,Tybur,Heavyweight
Francis Ngannou,Orthodox,76.0,250.0,83.0,,,,The Predator,Heavyweight
Josh Barnett,Orthodox,75.0,250.0,78.0,,,,The Warmaster,Heavyweight
Alistair Overeem,Orthodox,76.0,265.0,80.0,,,,The Demolition Man,Heavyweight
Stipe Miocic,Orthodox,76.0,240.0,80.0,,,,No Nickname,Heavyweight
Frank Mir,Southpaw,75.0,264.0,79.0,,,,No Nickname,Heavyweight
Travis Browne,Orthodox,78.0,255.0,79.0,,,,Hapa,Heavyweight
Antonio Silva,Orthodox,76.0,264.0,82.0,,,,Bigfoot,Heavyweight
Brendan Schaub,Orthodox,76.0,245.0,78.0,,,,Big Brown,Heavyweight
Sergei Kharitonov,Orthodox,72.0,245.0,,,,,No Nickname,
Brett Rogers,Orthodox,77.0,265.0,81.0,,,,The Grim,
Fedor Emelianenko,Orthodox,72.0,230.0,74.0,,,,The Last Emperor,
Roy Nelson,Orthodox,72.0,263.0,73.0,,,,Big Country,Heavyweight
Jake O'Brien,Orthodox,75.0,205.0,76.0,,,,Irish,Light Heavyweight
Fabricio Werdum,Orthodox,76.0,231.0,77.0,,,,Vai Cavalo,Heavyweight
Marcio Cruz,Orthodox,76.0,232.0,,,,,Pe de Pano,Heavyweight
Wesley Correira,Orthodox,75.0,260.0,,,,,Cabbage,Heavyweight
Vladimir Matyushenko,Orthodox,72.0,205.0,74.0,,,,The Janitor,Light Heavyweight
Ian Freeman,Orthodox,71.0,225.0,,,,,The Machine,Heavyweight
Pedro Rizzo,Orthodox,73.0,241.0,,,,,The Rock,Heavyweight
Ricco Rodriguez,Orthodox,76.0,265.0,,,,,Suave,Heavyweight
Aaron Brink,Orthodox,75.0,205.0,,,,,No Nickname,Heavyweight
Garrett Armfield,Orthodox,66.0,135.0,70.0,,,,No Nickname,Bantamweight
Serhiy Sidey,Switch,71.0,135.0,72.0,,,,No Nickname,Bantamweight
Brady Hiestand,Orthodox,68.0,135.0,71.0,,,,Bam Bam,Bantamweight
Brad Katona,Orthodox,66.0,135.0,64.0,,,,Superman,Bantamweight
Toshiomi Kazama,Orthodox,67.0,135.0,69.0,,,,No Nickname,Bantamweight
David Onama,Orthodox,71.0,145.0,74.0,,,,No Nickname,Featherweight
Joey Armstrong,Orthodox,,,,,,,No Nickname,
Sam Spengler,Orthodox,71.0,185.0,,,,,The Ram,
Austin Arnett,Orthodox,72.0,145.0,72.0,,,,No Nickname,Featherweight
Shane Young,Orthodox,68.0,145.0,72.0,,,,Smokin',Featherweight
Humberto Bandenay,Southpaw,71.0,145.0,71.0,,,,No Nickname,Featherweight
Cory Sandhagen,Switch,71.0,135.0,70.0,,,,No Nickname,Bantamweight
Brandon Davis,Orthodox,61.0,135.0,72.0,,,,Killer B,Bantamweight
Ricardo Arona,Orthodox,71.0,205.0,,,,,The Brazilian Tiger,
Rameau Thierry Sokoudjou,Orthodox,61.0,205.0,78.0,,,,The African Assassin,Light Heavyweight
Wanderlei Silva,Orthodox,71.0,205.0,74.0,,,,The Axe Murderer,Light Heavyweight
Kazushi Sakuraba,Southpaw,72.0,185.0,,,,,The Gracie Hunter,Heavyweight
Dean Lister,Orthodox,73.0,185.0,75.0,,,,The Boogeyman,Middleweight
Sergey Ignatov,Orthodox,69.0,210.0,,,,,No Nickname,
Quinton Jackson,Orthodox,73.0,205.0,73.0,,,,Rampage,Catch Weight
Murilo Rua,Orthodox,71.0,185.0,,,,,Ninja,
Dan Henderson,Orthodox,71.0,185.0,74.0,,,,Hendo,Middleweight
Guy Mezger,Orthodox,73.0,200.0,,,,,No Nickname,Lightweight
Eli Aronov,Orthodox,61.0,185.0,72.0,,,,The Israeli Tank,
Zach Reese,Switch,76.0,185.0,77.0,,,,Savage,Catch Weight
Chalid Arrab,Orthodox,71.0,205.0,,,,,Die Faust,
Kazuhiro Nakamura,Orthodox,71.0,205.0,70.0,,,,Kaz,Light Heavyweight
Rodney Faverus,Southpaw,72.0,215.0,,,,,No Nickname,
Akbarh Arreola,Southpaw,61.0,155.0,71.0,,,,El Caballero,Lightweight
Francisco Trinaldo,Southpaw,69.0,170.0,70.0,,,,Massaranduba,Welterweight
Yves Edwards,Southpaw,69.0,155.0,73.0,,,,No Nickname,Lightweight
Tiago dos Santos e Silva,Orthodox,69.0,145.0,70.0,,,,Trator,Featherweight
Matt Arroyo,Orthodox,61.0,170.0,72.0,,,,No Regard,Welterweight
Dan Cramer,Orthodox,74.0,170.0,,,,,No Nickname,Welterweight
Matt Brown,Orthodox,72.0,170.0,75.0,,,,The Immortal,Welterweight
John Kolosci,Orthodox,71.0,185.0,,,,,No Nickname,Welterweight
Antonio Arroyo,Orthodox,75.0,185.0,73.0,,,,No Nickname,Middleweight
Joaquin Buckley,Southpaw,61.0,170.0,76.0,,,,New Mansa,Welterweight
Deron Winn,Orthodox,66.0,185.0,70.0,,,,No Nickname,Catch Weight
Andre Muniz,Southpaw,73.0,185.0,78.0,,,,Sergipano,Middleweight
Stephen Regman,Orthodox,71.0,185.0,76.0,,,,No Nickname,
Diego Henrique da Silva,Orthodox,74.0,185.0,,,,,Gaucho,
Gilles Arsene,Southpaw,69.0,190.0,,,,,No Nickname,
Cesar Arzamendia,Orthodox,71.0,155.0,,,,,Goku,Lightweight
Damien Brown,Orthodox,61.0,155.0,68.0,,,,Beatdown,Lightweight
Marco Polo Reyes,Orthodox,71.0,155.0,71.0,,,,No Nickname,Lightweight
Kai Asakura,Orthodox,68.0,125.0,69.0,,,,No Nickname,Flyweight
Tim Elliott,Southpaw,67.0,125.0,66.0,,,,No Nickname,Flyweight
Teddy Ash,Switch,73.0,185.0,73.0,,,,Bear,
Dusko Todorovic,Orthodox,73.0,185.0,74.0,,,,Thunder,Middleweight
Yanal Ashmouz,Orthodox,69.0,155.0,69.0,,,,Red Fox,Lightweight
Quillan Salkilld,Orthodox,72.0,155.0,75.0,,,,No Nickname,Lightweight
Trevor Peek,Switch,69.0,145.0,70.0,,,,No Nickname,Lightweight
Chris Duncan,Orthodox,61.0,155.0,71.0,,,,The Problem,Lightweight
Sam Patterson,Orthodox,75.0,170.0,78.0,,,,No Nickname,Welterweight
Askar Askarov,Orthodox,66.0,125.0,67.0,,,,Bullet,Flyweight
Kai Kara-France,Orthodox,64.0,125.0,69.0,,,,Don't Blink,Flyweight
Joseph Benavidez,Southpaw,64.0,125.0,65.0,,,,No Nickname,Flyweight
Alexandre Pantoja,Orthodox,65.0,125.0,67.0,,,,The Cannibal,Flyweight
Brandon Moreno,Orthodox,67.0,125.0,70.0,,,,The Assassin Baby,Flyweight
Cyril Asker,Orthodox,72.0,247.0,74.0,,,,Silverback,Heavyweight
Hu Yaozong,Orthodox,75.0,185.0,72.0,,,,Totoro,Middleweight
Dmitrii Smoliakov,Switch,74.0,253.0,74.0,,,,The Lifeguard,Heavyweight
Jared Cannonier,Switch,71.0,185.0,77.0,,,,The Killa Gorilla,Middleweight
Khusein Askhabov,Orthodox,68.0,145.0,69.0,,,,Nohcho,Featherweight
Jamall Emmers,Orthodox,61.0,145.0,74.0,,,,Pretty Boy,Featherweight
Scott Askham,Southpaw,75.0,185.0,75.0,,,,No Nickname,Middleweight
Brad Scott,Orthodox,73.0,170.0,76.0,,,,Bear,Middleweight
Jack Hermansson,Orthodox,73.0,170.0,77.0,,,,The Joker,Middleweight
Chris Dempsey,Orthodox,61.0,185.0,72.0,,,,No Nickname,Middleweight
Krzysztof Jotko,Southpaw,73.0,185.0,77.0,,,,No Nickname,Middleweight
Antonio Dos Santos,Orthodox,61.0,185.0,,,,,Junior Alpha,Middleweight
Magnus Cedenblad,Orthodox,77.0,185.0,79.0,,,,Jycken,Middleweight
Ben Askren,Orthodox,71.0,170.0,73.0,,,,Funky,Welterweight
Demian Maia,Southpaw,73.0,170.0,72.0,,,,No Nickname,Welterweight
Jorge Masvidal,Orthodox,71.0,170.0,74.0,,,,Gamebred,Welterweight
Robbie Lawler,Southpaw,71.0,170.0,74.0,,,,Ruthless,Welterweight
Ibo Aslan,Orthodox,75.0,205.0,77.0,,,,The Last Ottoman,Light Heavyweight
Iwo Baraniewski,Orthodox,72.0,205.0,73.0,,,,Rudy,Light Heavyweight
Billy Elekana,Southpaw,75.0,205.0,77.0,,,,Son of Susie,Light Heavyweight
Rafael Cerqueira,Southpaw,75.0,205.0,76.0,,,,The Lion,Light Heavyweight
Anton Turkalj,Orthodox,76.0,205.0,78.0,,,,The Pleasure Man,Light Heavyweight
Paulo Renato Junior,Orthodox,72.0,205.0,73.0,,,,No Nickname,
Curtis Blaydes,Orthodox,76.0,265.0,80.0,,,,Razor,Heavyweight
Alexander Volkov,Orthodox,79.0,261.0,80.0,,,,Drago,Heavyweight
Serghei Spivac,Orthodox,75.0,260.0,78.0,,,,Polar Bear,Heavyweight
Alan Baudot,Orthodox,75.0,243.0,79.0,,,,The Black Samourai,Heavyweight
Steven Asplund,Orthodox,77.0,261.0,78.0,,,,Concrete,
Sean Sharaf,Orthodox,75.0,252.0,77.0,,,,The Smoke,Heavyweight
Anthony Guarascio,Orthodox,74.0,233.0,72.0,,,,The Daywalker,
Bruno Assis,Orthodox,74.0,185.0,,,,,Brunao,
Junior Assuncao,Orthodox,69.0,145.0,72.0,,,,No Nickname,Featherweight
Ross Pearson,Orthodox,68.0,155.0,69.0,,,,The Real Deal,Lightweight
Eddie Yagin,Orthodox,67.0,145.0,,,,,The Filipino Phenom,Featherweight
Nate Diaz,Southpaw,72.0,170.0,76.0,,,,No Nickname,Welterweight
David Lee,Orthodox,61.0,155.0,,,,,No Nickname,Lightweight
Kurt Pellegrino,Orthodox,68.0,155.0,70.0,,,,Batman,Lightweight
Raphael Assuncao,Orthodox,65.0,135.0,66.0,,,,No Nickname,Bantamweight
Davey Grant,Orthodox,68.0,135.0,69.0,,,,Dangerous,Bantamweight
Victor Henry,Switch,67.0,135.0,68.0,,,,La Mangosta,Bantamweight
Ricky Simon,Orthodox,66.0,135.0,69.0,,,,No Nickname,Bantamweight
Cody Garbrandt,Orthodox,68.0,135.0,65.0,,,,No Love,Bantamweight
Marlon Moraes,Orthodox,66.0,135.0,67.0,,,,Magic,Bantamweight
Rob Font,Orthodox,68.0,135.0,71.0,,,,No Nickname,Catch Weight
Matthew Lopez,Southpaw,67.0,135.0,69.0,,,,No Nickname,Bantamweight
Aljamain Sterling,Orthodox,67.0,145.0,71.0,,,,Funk Master,Catch Weight
TJ Dillashaw,Orthodox,66.0,135.0,67.0,,,,No Nickname,Bantamweight
Bryan Caraway,Orthodox,68.0,135.0,68.0,,,,Kid Lightning,Bantamweight
Pedro Munhoz,Orthodox,66.0,135.0,65.0,,,,The Young Punisher,Bantamweight
Vaughan Lee,Orthodox,66.0,125.0,66.0,,,,No Nickname,Bantamweight
Mike Easton,Southpaw,66.0,135.0,70.0,,,,The Hulk,Bantamweight
Issei Tamura,Orthodox,65.0,135.0,63.0,,,,No Nickname,Featherweight
Johnny Eduardo,Orthodox,67.0,135.0,71.0,,,,No Nickname,Bantamweight
Erik Koch,Southpaw,61.0,170.0,71.0,,,,Phoenix,Welterweight
LC Davis,Southpaw,68.0,135.0,69.0,,,,No Nickname,
Diego Nunes,Orthodox,66.0,145.0,67.0,,,,The Gun,Featherweight
Urijah Faber,Orthodox,66.0,135.0,67.0,,,,The California Kid,Bantamweight
Jameel Massouh,Orthodox,61.0,145.0,72.0,,,,No Nickname,
Michael Aswell Jr.,Orthodox,68.0,145.0,69.0,,,,The Texas Kid,Featherweight
Lucas Almeida,Orthodox,71.0,145.0,71.0,,,,No Nickname,Featherweight
Bolaji Oki,Orthodox,61.0,155.0,73.0,,,,The Zulu Warrior,Lightweight
Bogdan Grad,Orthodox,68.0,145.0,70.0,,,,The Unleashed,Featherweight
Bazigit Atajev,Orthodox,73.0,230.0,,,,,Volk,
Rich Attonito,Orthodox,61.0,170.0,72.0,,,,The Raging Bull,Welterweight
Jake Hecht,Orthodox,72.0,170.0,73.0,,,,Hitman,Welterweight
Daniel Roberts,Southpaw,61.0,170.0,74.0,,,,Ninja,Welterweight
David Branch,Orthodox,73.0,185.0,78.0,,,,No Nickname,Middleweight
Rafael Natal,Orthodox,72.0,185.0,77.0,,,,Sapo,Middleweight
Jamie Yager,Orthodox,73.0,185.0,,,,,The Chosyn 1,Middleweight
Olivier Aubin-Mercier,Southpaw,69.0,155.0,70.0,,,,The Canadian Gangster,Lightweight
Arman Tsarukyan,Orthodox,67.0,155.0,72.0,,,,Ahalkalakets,Lightweight
Gilbert Burns,Orthodox,61.0,170.0,71.0,,,,Durinho,Welterweight
Alexander Hernandez,Orthodox,69.0,155.0,72.0,,,,El Gran Chango,Lightweight
Evan Dunham,Southpaw,61.0,155.0,70.0,,,,No Nickname,Lightweight
Anthony Rocco Martin,Orthodox,72.0,170.0,73.0,,,,No Nickname,Welterweight
Drew Dober,Southpaw,68.0,155.0,70.0,,,,No Nickname,Lightweight
Thibault Gouti,Orthodox,61.0,155.0,72.0,,,,GT,Lightweight
Diego Ferreira,Orthodox,69.0,155.0,74.0,,,,No Nickname,Lightweight
