name,stance,height_in,weight_lb,reach_in,date_of_birth,record,source_url,nickname,weight_class
Nazareno Malegarie,Orthodox,68.0,155.0,,,,,El Tigre,Lightweight
Chris Manuel,Orthodox,69.0,135.0,,,,,No Nickname,
Marcos Mariano,Switch,73.0,155.0,76.0,,,,Dhalsim,Lightweight
Enrique Marin,Orthodox,61.0,170.0,,,,,Wasabi,Lightweight
Cesar Marscucci,Orthodox,,,,,,,No Nickname,
Paulo Santos,Orthodox,,,,,,,No Nickname,
John Marsh,Orthodox,72.0,265.0,,,,,No Nickname,Heavyweight
Doug Marshall,Orthodox,61.0,205.0,,,,,The Rhino,
Jeff Terry,Orthodox,74.0,205.0,,,,,No Nickname,
David Marshall,Orthodox,74.0,170.0,,,,,No Nickname,
Mairon Santos,Orthodox,67.0,145.0,72.0,,,,The Legend,Featherweight
Eric Martin,Orthodox,,,,,,,No Nickname,
Justin Martin,Orthodox,72.0,185.0,,,,,No Nickname,
Felipe Olivieri,Orthodox,69.0,155.0,,,,,No Nickname,Lightweight
Michal Martinek,Southpaw,74.0,230.0,,,,,No Nickname,
Adrian Luna Martinetti,Orthodox,68.0,135.0,71.0,,,,No Nickname,
Mark Vologdin,Orthodox,63.0,135.0,65.0,,,,No Nickname,
Richie Vaculik,Orthodox,66.0,125.0,69.0,,,,Vas,Flyweight
Alonzo Martinez,Orthodox,61.0,155.0,,,,,Zo Diddy,
Drako Rodriguez,Orthodox,68.0,135.0,69.0,,,,No Nickname,Bantamweight
Jacob Rosales,Orthodox,71.0,155.0,74.0,,,,The Lil Badger,
Roque Martinez,Orthodox,61.0,250.0,72.0,,,,No Nickname,Heavyweight
Viscardi Andrade,Orthodox,71.0,170.0,75.0,,,,No Nickname,Welterweight
Shoji Maruyama,Orthodox,67.0,139.0,,,,,No Nickname,
Takeshi Yamazaki,Southpaw,68.0,139.0,,,,,No Nickname,
Islem Masraf,Southpaw,72.0,205.0,74.0,,,,Lightning,
Artem Vakhitov,Orthodox,73.0,205.0,75.0,,,,No Nickname,
Al Matavao,Orthodox,68.0,205.0,67.0,,,,Sweetness,
Kazuki Okubo,Orthodox,71.0,175.0,,,,,No Nickname,
Jerrel Venetiaan,Orthodox,73.0,195.0,,,,,No Nickname,
Bob Schrijber,Orthodox,72.0,240.0,,,,,Dirty,
Kasey Tanner,Orthodox,67.0,135.0,69.0,,,,No Nickname,
Naoki Matsushita,Orthodox,66.0,155.0,,,,,No Nickname,
AJ Matthews,Orthodox,71.0,185.0,,,,,No Nickname,
Claudio Mattos,Orthodox,,185.0,,,,,Popeye,
John Matua,Orthodox,74.0,400.0,,,,,No Nickname,Open Weight
Francesco Maturi,Orthodox,,,,,,,No Nickname,
Onassis Parungao,Orthodox,71.0,200.0,,,,,No Nickname,
Alex Schoenauer,Orthodox,75.0,185.0,,,,,No Nickname,Middleweight
Ricardo Prasel,Orthodox,79.0,238.0,78.0,,,,Alemao,
Mitchell Sipe,Orthodox,74.0,245.0,,,,,No Dice,
Lara Procopio,Orthodox,64.0,125.0,67.0,,,,No Nickname,Women's Flyweight
Baisangur Susurkaev,Orthodox,74.0,185.0,79.0,,,,Hunter,Middleweight
Danni McCormack,Southpaw,64.0,125.0,62.0,,,,Mac,
Harris Sarmiento,Orthodox,69.0,155.0,,,,,The Hitman,
Robert McDaniel,Southpaw,75.0,185.0,75.0,,,,Bubba,Middleweight
Gilbert Smith,Southpaw,69.0,185.0,,,,,No Nickname,Middleweight
Alex Soto,Southpaw,68.0,135.0,,,,,Extremo,Bantamweight
Patrick Murphy,Orthodox,72.0,170.0,,,,,No Nickname,
Marcio Alexandre Junior,Southpaw,72.0,185.0,75.0,,,,Lyoto,Welterweight
Ryan McGivern,Orthodox,72.0,185.0,,,,,No Nickname,
Jack McGlaughlin,Orthodox,,,,,,,No Nickname,
Axel Sola,Southpaw,74.0,170.0,74.0,,,,No Nickname,Welterweight
Aaron Wilkinson,Orthodox,61.0,155.0,,,,,The Daywalker,Lightweight
Jason McLean,Orthodox,65.0,145.0,,,,,No Nickname,
Kevin Roddy,Orthodox,71.0,145.0,,,,,K-Rod,
Raquel Pa'aluhi,Orthodox,67.0,135.0,,,,,Rocky,
Tommy McMillen,Orthodox,72.0,145.0,74.0,,,,Gun,
David Mgoyan,Orthodox,69.0,145.0,70.0,,,,No Nickname,
Darrill Schoonover,Orthodox,74.0,220.0,,,,,The Boss,Heavyweight
Daniel McWilliams,Orthodox,73.0,185.0,,,,,The Animal,
Eddy Millis,Orthodox,73.0,185.0,,,,,No Nickname,
