fight_date,event,fighter_a,fighter_b,sportsbook,fighter_a_odds,fighter_b_odds,timestamp,source_file
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Mike Breeden,Anshul Jubli,espn_source,235,-290,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Nathaniel Wood,Muhammad Naimov,espn_source,-330,260,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-04,UFC Fight Night: Almeida vs. Lewis,Rinat Fakhretdinov,Elizeu Zaleski dos Santos,espn_source,-400,300,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-04,UFC Fight Night: Almeida vs. Lewis,Eduarda Moura,Montserrat Conejo Ruiz,espn_source,-800,500,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-11,UFC 295: Procházka vs. Pereira,Jiří Procházka,Alex Pereira,espn_source,-105,-115,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-11,UFC 295: Procházka vs. Pereira,Sergei Pavlovich,Tom Aspinall,espn_source,-110,-110,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-11,UFC 295: Procházka vs. Pereira,Jessica Andrade,Mackenzie Dern,espn_source,200,-245,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-11,UFC 295: Procházka vs. Pereira,Matt Frevola,Benoît Saint Denis,espn_source,180,-225,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-11,UFC 295: Procházka vs. Pereira,Steve Erceg,Alessandro Costa,espn_source,-210,175,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-11,UFC 295: Procházka vs. Pereira,Tabatha Ricci,Loopy Godínez,espn_source,180,-220,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-11,UFC 295: Procházka vs. Pereira,Mateusz Rębecki,Roosevelt Roberts,espn_source,-800,500,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-11,UFC 295: Procházka vs. Pereira,Nazim Sadykhov,Viacheslav Borshchev,espn_source,-170,140,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-11,UFC 295: Procházka vs. Pereira,Jared Gordon,Mark O. Madsen,espn_source,-225,185,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-11,UFC 295: Procházka vs. Pereira,John Castaneda,Kyung Ho Kang,espn_source,-115,-105,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-11,UFC 295: Procházka vs. Pereira,Joshua Van,Kevin Borjas,espn_source,-235,190,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-11,UFC 295: Procházka vs. Pereira,Dennis Buzukja,Jamall Emmers,espn_source,200,-245,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-18,UFC Fight Night: Allen vs. Craig,Brendan Allen,Paul Craig,espn_source,-650,450,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-18,UFC Fight Night: Allen vs. Craig,Michael Morales,Jake Matthews,espn_source,-360,275,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-18,UFC Fight Night: Allen vs. Craig,Chase Hooper,Jordan Leavitt,espn_source,-185,155,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-18,UFC Fight Night: Allen vs. Craig,Payton Talbott,Nick Aguirre,espn_source,-725,475,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-18,UFC Fight Night: Allen vs. Craig,Luana Pinheiro,Amanda Ribas,espn_source,185,-225,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-18,UFC Fight Night: Allen vs. Craig,Jonathan Pearce,Joanderson Brito,espn_source,-150,125,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-18,UFC Fight Night: Allen vs. Craig,Chad Anheliger,Jose Johnson,espn_source,175,-210,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-18,UFC Fight Night: Allen vs. Craig,Christian Leroy Duncan,Denis Tiuliulin,espn_source,-650,450,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-18,UFC Fight Night: Allen vs. Craig,Mick Parkin,Caio Machado,espn_source,-370,280,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-18,UFC Fight Night: Allen vs. Craig,Jeka Saragih,Lucas Alexander,espn_source,360,-500,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-18,UFC Fight Night: Allen vs. Craig,Lucie Pudilova,Ailin Perez,espn_source,165,-195,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-18,UFC Fight Night: Allen vs. Craig,Trey Ogden,Nikolas Motta,espn_source,105,-125,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-11-18,UFC Fight Night: Allen vs. Craig,Charles Johnson,Rafael Estevam,espn_source,120,-140,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
