event,fight_date,fighter_a,fighter_b,judge,round_1_a,round_1_b,round_2_a,round_2_b,round_3_a,round_3_b,round_4_a,round_4_b,round_5_a,round_5_b,total_a,total_b,decision_type,winner,card_type,raw_scorecards,source_file
UFC: Ultimate Ultimate 95,1995-12-17,Dan Severn,Oleg Taktarov,raw_scorecards,,,,,,,,,,,,,Main Card,Dan Severn,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC: Ultimate Ultimate 95,1995-12-17,Marco Ruas,Oleg Taktarov,raw_scorecards,,,,,,,,,,,,,Main Card,Oleg Taktarov,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC: Ultimate Ultimate 95,1995-12-17,David Abbott,Dan Severn,raw_scorecards,,,,,,,,,,,,,Main Card,Dan Severn,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 8: David vs. Goliath,1996-02-17,Joe Moreira,Paul Varelans,raw_scorecards,,,,,,,,,,,,,Main Card,Paul Varelans,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 9: Motor City Madness,1996-05-18,Dan Severn,Ken Shamrock,raw_scorecards,,,,,,,,,,,,,Main Card,Dan Severn,Main Card,Victory by Decision - Split,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 10: The Tournament,1996-07-13,Sam Adkins,Felix Lee Mitchell,raw_scorecards,,,,,,,,,,,,,Main Card,Sam Adkins,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 13: The Ultimate Force,1997-05-31,Christophe Leninger,Guy Mezger,raw_scorecards,,,,,,,,,,,,,Main Card,Guy Mezger,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 14: Showdown,1997-07-28,Mark Coleman,Maurice Smith,raw_scorecards,,,,,,,,,,,,,Main Card,Maurice Smith,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 14: Showdown,1997-07-28,Joe Moreira,Yuri Vaulin,raw_scorecards,,,,,,,,,,,,,Main Card,Joe Moreira,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 15: Collision Course,1997-10-18,Carlos Barreto,Dave Beneteau,raw_scorecards,,,,,,,,,,,,,Main Card,Dave Beneteau,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 15: Collision Course,1997-10-18,Harry Moskowitz,Alex Hunter,raw_scorecards,,,,,,,,,,,,,Main Card,Alex Hunter,Main Card,Victory by Decision - Split,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC - Ultimate Japan,1997-12-22,Randy Couture,Maurice Smith,raw_scorecards,,,,,,,,,,,,,Main Card,Randy Couture,Main Card,Victory by Decision - Majority,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC - Ultimate Japan,1997-12-22,David Abbott,Yoji Anjo,raw_scorecards,,,,,,,,,,,,,Main Card,David Abbott,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 17: Redemption,1998-05-16,Dan Henderson,Carlos Newton,raw_scorecards,,,,,,,,,,,,,Main Card,Dan Henderson,Main Card,Victory by Decision - Split,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 17.5: Ultimate Brazil,1998-10-17,Mikey Burnett,Pat Miletich,raw_scorecards,,,,,,,,,,,,,Main Card,Pat Miletich,Main Card,Victory by Decision - Split,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 17.5: Ultimate Brazil,1998-10-17,Tsuyoshi Kosaka,Pete Williams,raw_scorecards,,,,,,,,,,,,,Main Card,Tsuyoshi Kosaka,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 18: The Road to the Heavyweight Title,1999-01-09,Pat Miletich,Jorge Patino,raw_scorecards,,,,,,,,,,,,,Main Card,Pat Miletich,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 18: The Road to the Heavyweight Title,1999-01-09,Mark Coleman,Pedro Rizzo,raw_scorecards,,,,,,,,,,,,,Main Card,Pedro Rizzo,Main Card,Victory by Decision - Split,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 18: The Road to the Heavyweight Title,1999-01-09,Mikey Burnett,Townsend Saunders,raw_scorecards,,,,,,,,,,,,,Main Card,Mikey Burnett,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 19: Ultimate Young Guns,1999-03-06,Maurice Smith,Kevin Randleman,raw_scorecards,,,,,,,,,,,,,Main Card,Kevin Randleman,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 20: Battle for the Gold,1999-05-08,Bas Rutten,Kevin Randleman,raw_scorecards,,,,,,,,,,,,,Main Card,Bas Rutten,Main Card,Victory by Decision - Split,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 21: Return of the Champions,1999-07-17,David Dodd,Travis Fulton,raw_scorecards,,,,,,,,,,,,,Prelims,Travis Fulton,Prelims,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 22: There Can Be Only One Champion,1999-09-25,Matt Hughes,Valeri Ignatov,raw_scorecards,,,,,,,,,,,,,Main Card,Matt Hughes,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 23: Ultimate Japan 2,1999-11-20,Kevin Randleman,Pete Williams,raw_scorecards,,,,,,,,,,,,,Main Card,Kevin Randleman,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 23: Ultimate Japan 2,1999-11-20,Kenichi Yamamoto,Daiju Takase,raw_scorecards,,,,,,,,,,,,,Main Card,Kenichi Yamamoto,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 24: First Defense,2000-03-11,Fabiano Iha,Dave Menne,raw_scorecards,,,,,,,,,,,,,Main Card,Dave Menne,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 24: First Defense,2000-03-11,Brad Gumm,Shonie Carter,raw_scorecards,,,,,,,,,,,,,Prelims,Shonie Carter,Prelims,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 25: Ultimate Japan 3,2000-04-15,Tito Ortiz,Wanderlei Silva,raw_scorecards,,,,,,,,,,,,,Main Card,Tito Ortiz,Main Card,49-47 | 49-46 | 49-46,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 25: Ultimate Japan 3,2000-04-15,Satoshi Honma,Ron Waterman,raw_scorecards,,,,,,,,,,,,,Main Card,Ron Waterman,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 25: Ultimate Japan 3,2000-04-15,LaVerne Clark,Koji Oishi,raw_scorecards,,,,,,,,,,,,,Prelims,LaVerne Clark,Prelims,Victory by Decision - Majority,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 26: Ultimate Field of Dreams,2000-06-10,Kevin Randleman,Pedro Rizzo,raw_scorecards,,,,,,,,,,,,,Main Card,Kevin Randleman,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 26: Ultimate Field of Dreams,2000-06-10,David Dodd,Tyrone Roberts,raw_scorecards,,,,,,,,,,,,,Main Card,Tyrone Roberts,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 26: Ultimate Field of Dreams,2000-06-10,Jens Pulver,Joao Roque,raw_scorecards,,,,,,,,,,,,,Main Card,Jens Pulver,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 26: Ultimate Field of Dreams,2000-06-10,Shonie Carter,Adrian Serrano,raw_scorecards,,,,,,,,,,,,,Prelims,Shonie Carter,Prelims,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 27: Ultimate Bad Boyz,2000-09-23,Bobby Hoffman,Maurice Smith,raw_scorecards,,,,,,,,,,,,,Main Card,Maurice Smith,Main Card,Victory by Decision - Split,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 27: Ultimate Bad Boyz,2000-09-23,Ian Freeman,Tedd Williams,raw_scorecards,,,,,,,,,,,,,Main Card,Ian Freeman,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 27: Ultimate Bad Boyz,2000-09-23,Tim Lajcik,Jeff Monson,raw_scorecards,,,,,,,,,,,,,Prelims,Jeff Monson,Prelims,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 28: High Stakes,2000-11-18,Renato Sobral,Maurice Smith,raw_scorecards,,,,,,,,,,,,,Main Card,Renato Sobral,Main Card,Victory by Decision - Majority,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 28: High Stakes,2000-11-18,Mark Hughes,Alex Stiebling,raw_scorecards,,,,,,,,,,,,,Prelims,Mark Hughes,Prelims,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 28: High Stakes,2000-11-18,Ben Earwood,Chris Lytle,raw_scorecards,,,,,,,,,,,,,Prelims,Ben Earwood,Prelims,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 29: Defense of the Belts,2000-12-17,Jeff Monson,Chuck Liddell,raw_scorecards,,,,,,,,,,,,,Prelims,Chuck Liddell,Prelims,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 30: The Battle on the Boardwalk,2001-02-24,Jens Pulver,Caol Uno,raw_scorecards,,,,,,,,,,,,,Main Card,Jens Pulver,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 30: The Battle on the Boardwalk,2001-02-24,Phil Baroni,Curtis Stout,raw_scorecards,,,,,,,,,,,,,Prelims,Phil Baroni,Prelims,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 31: Locked & Loaded,2001-05-05,Randy Couture,Pedro Rizzo,raw_scorecards,,,,,,,,,,,,,Main Card,Randy Couture,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 31: Locked & Loaded,2001-05-05,Tony DeSouza,Steve Berger,raw_scorecards,,,,,,,,,,,,,Prelims,Tony DeSouza,Prelims,29-28 | 29-28 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 32: Showdown in the Meadowlands,2001-06-30,Vladimir Matyushenko,Yuki Kondo,raw_scorecards,,,,,,,,,,,,,Main Card,Vladimir Matyushenko,Main Card,0-27 | 0-26 | 0-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 33: Victory in Vegas,2001-09-29,Tito Ortiz,Vladimir Matyushenko,raw_scorecards,,,,,,,,,,,,,Main Card,Tito Ortiz,Main Card,50-43 | 50-44 | 50-44,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 33: Victory in Vegas,2001-09-29,Dennis Hallman,Jens Pulver,raw_scorecards,,,,,,,,,,,,,Main Card,Jens Pulver,Main Card,47-49 | 47-48 | 47-48,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 33: Victory in Vegas,2001-09-29,Murilo Bustamante,Chuck Liddell,raw_scorecards,,,,,,,,,,,,,Main Card,Chuck Liddell,Main Card,27-29 | 28-29 | 27-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 33: Victory in Vegas,2001-09-29,Yves Edwards,Matt Serra,raw_scorecards,,,,,,,,,,,,,Main Card,Matt Serra,Main Card,29-29 | 27-30 | 26-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 33: Victory in Vegas,2001-09-29,Gil Castillo,Dave Menne,raw_scorecards,,,,,,,,,,,,,Main Card,Dave Menne,Main Card,44-49 | 42-49 | 45-49,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 33: Victory in Vegas,2001-09-29,Fabiano Iha,Din Thomas,raw_scorecards,,,,,,,,,,,,,Prelims,Din Thomas,Prelims,28-29 | 28-29 | 27-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 34: High Voltage,2001-11-03,Matt Lindland,Phil Baroni,raw_scorecards,,,,,,,,,,,,,Prelims,Matt Lindland,Prelims,29-28 | 29-27 | 28-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 35: Throwdown,2002-01-12,BJ Penn,Jens Pulver,raw_scorecards,,,,,,,,,,,,,Main Card,Jens Pulver,Main Card,45-48 | 47-48 | 47-47,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 35: Throwdown,2002-01-12,Amar Suloev,Chuck Liddell,raw_scorecards,,,,,,,,,,,,,Main Card,Chuck Liddell,Main Card,27-30 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 35: Throwdown,2002-01-12,Kevin Randleman,Renato Sobral,raw_scorecards,,,,,,,,,,,,,Main Card,Kevin Randleman,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 35: Throwdown,2002-01-12,Chris Brennan,Gil Castillo,raw_scorecards,,,,,,,,,,,,,Main Card,Gil Castillo,Main Card,Victory by Decision - Unanimous,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 36: Worlds Collide,2002-03-23,Sean Sherk,Jutaro Nakao,raw_scorecards,,,,,,,,,,,,,Main Card,Sean Sherk,Main Card,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 37: High Impact,2002-05-11,Yves Edwards,Caol Uno,raw_scorecards,,,,,,,,,,,,,Main Card,Caol Uno,Main Card,29-29 | 28-29 | 28-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 37: High Impact,2002-05-11,Robbie Lawler,Aaron Riley,raw_scorecards,,,,,,,,,,,,,Prelims,Robbie Lawler,Prelims,29-27 | 29-28 | 29-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 37.5: As Real As It Gets,2002-06-23,Vitor Belfort,Chuck Liddell,raw_scorecards,,,,,,,,,,,,,Main Card,Chuck Liddell,Main Card,28-30 | 27-30 | 27-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 37.5: As Real As It Gets,2002-06-23,Benji Radach,Nick Serra,raw_scorecards,,,,,,,,,,,,,Main Card,Benji Radach,Main Card,29-27 | 30-27 | 30-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 38: Brawl at the Hall,2002-07-14,Phillip Miller,James Zikic,raw_scorecards,,,,,,,,,,,,,Main Card,Phillip Miller,Main Card,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 38: Brawl at the Hall,2002-07-14,Elvis Sinosic,Renato Sobral,raw_scorecards,,,,,,,,,,,,,Prelims,Renato Sobral,Prelims,27-30 | 27-30 | 26-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 38: Brawl at the Hall,2002-07-14,Chris Haseman,Evan Tanner,raw_scorecards,,,,,,,,,,,,,Prelims,Evan Tanner,Prelims,27-30 | 26-30 | 26-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 39: The Warriors Return,2002-09-28,BJ Penn,Matt Serra,raw_scorecards,,,,,,,,,,,,,Main Card,BJ Penn,Main Card,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 39: The Warriors Return,2002-09-28,Caol Uno,Din Thomas,raw_scorecards,,,,,,,,,,,,,Main Card,Caol Uno,Main Card,29-27 | 29-27 | 29-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 39: The Warriors Return,2002-09-28,Matt Lindland,Ivan Salaverry,raw_scorecards,,,,,,,,,,,,,Prelims,Matt Lindland,Prelims,29-28 | 29-28 | 30-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 41: Onslaught,2003-03-01,Phil Baroni,Matt Lindland,raw_scorecards,,,,,,,,,,,,,Main Card,Matt Lindland,Main Card,28-29 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 41: Onslaught,2003-03-01,Pedro Rizzo,Vladimir Matyushenko,raw_scorecards,,,,,,,,,,,,,Main Card,Vladimir Matyushenko,Main Card,27-30 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 41: Onslaught,2003-03-01,Matt Serra,Din Thomas,raw_scorecards,,,,,,,,,,,,,Prelims,Din Thomas,Prelims,28-29 | 29-28 | 28-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 42: Sudden Impact,2003-04-26,Matt Hughes,Sean Sherk,raw_scorecards,,,,,,,,,,,,,Main Card,Matt Hughes,Main Card,48-46 | 48-47 | 49-45,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 42: Sudden Impact,2003-04-26,Romie Aram,Dave Strasser,raw_scorecards,,,,,,,,,,,,,Main Card,Dave Strasser,Main Card,27-30 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 42: Sudden Impact,2003-04-26,Duane Ludwig,Genki Sudo,raw_scorecards,,,,,,,,,,,,,Main Card,Duane Ludwig,Main Card,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 42: Sudden Impact,2003-04-26,Richard Crunkilton,Hermes Franca,raw_scorecards,,,,,,,,,,,,,Prelims,Hermes Franca,Prelims,28-29 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 43: Meltdown,2003-06-07,Yves Edwards,Eddie Ruiz,raw_scorecards,,,,,,,,,,,,,Prelims,Yves Edwards,Prelims,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 44: Undisputed,2003-09-27,Randy Couture,Tito Ortiz,raw_scorecards,,,,,,,,,,,,,Main Card,Randy Couture,Main Card,50-44 | 50-44 | 50-45,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 44: Undisputed,2003-09-27,David Loiseau,Jorge Rivera,raw_scorecards,,,,,,,,,,,,,Main Card,Jorge Rivera,Main Card,28-29 | 27-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 45: Revolution,2003-11-22,Robbie Lawler,Chris Lytle,raw_scorecards,,,,,,,,,,,,,Main Card,Robbie Lawler,Main Card,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 45: Revolution,2003-11-22,Pedro Rizzo,Ricco Rodriguez,raw_scorecards,,,,,,,,,,,,,Prelims,Pedro Rizzo,Prelims,30-27 | 30-27 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 46: Supernatural,2004-02-01,Renato Verissimo,Carlos Newton,raw_scorecards,,,,,,,,,,,,,Main Card,Renato Verissimo,Main Card,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 46: Supernatural,2004-02-01,Georges St-Pierre,Karo Parisyan,raw_scorecards,,,,,,,,,,,,,Prelims,Georges St-Pierre,Prelims,30-27 | 30-27 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 46: Supernatural,2004-02-01,Josh Thomson,Hermes Franca,raw_scorecards,,,,,,,,,,,,,Prelims,Josh Thomson,Prelims,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 46: Supernatural,2004-02-01,Matt Serra,Jeff Curran,raw_scorecards,,,,,,,,,,,,,Prelims,Matt Serra,Prelims,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 47: It's On,2004-04-03,Yves Edwards,Hermes Franca,raw_scorecards,,,,,,,,,,,,,Main Card,Yves Edwards,Main Card,29-28 | 28-29 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 48: Payback,2004-06-20,Matt Hughes,Renato Verissimo,raw_scorecards,,,,,,,,,,,,,Main Card,Matt Hughes,Main Card,29-28 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 48: Payback,2004-06-20,Evan Tanner,Phil Baroni,raw_scorecards,,,,,,,,,,,,,Main Card,Evan Tanner,Main Card,30-28 | 30-27 | 29-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
