fight_id,source_url,fighter,opponent,knockdowns,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,takedowns_landed,takedowns_attempted,submission_attempts,reversals,control_seconds,head_landed,body_landed,leg_landed,raw_kd,raw_str,raw_td,raw_sub
1,,Julius Anglickas,Karl Reed,0.0,62.0,,,,4.0,,1.0,,,,,,0 0,62 25,4 2,1 0
2,,Collin Anglin,Sean Woodson,0.0,8.0,,,,0.0,,0.0,,,,,,0 1,8 50,0 0,0 0
3,,Collin Anglin,Melsik Baghdasaryan,0.0,25.0,,,,1.0,,0.0,,,,,,0 1,25 44,1 0,0 0
4,,Collin Anglin,Muhammad Naimov,0.0,88.0,,,,3.0,,0.0,,,,,,0 0,88 52,3 0,0 0
5,,Chad Anheliger,Cody Gibson,0.0,11.0,,,,0.0,,0.0,,,,,,0 0,11 16,0 5,0 2
6,,Chad Anheliger,Charalampos Grigoriou,0.0,85.0,,,,0.0,,0.0,,,,,,0 0,85 21,0 4,0 0
7,,Chad Anheliger,Jose Johnson,0.0,26.0,,,,4.0,,0.0,,,,,,0 0,26 63,4 1,0 1
8,,Chad Anheliger,Alatengheili,0.0,39.0,,,,0.0,,0.0,,,,,,0 0,39 49,0 2,0 0
9,,Chad Anheliger,Jesse Strader,2.0,67.0,,,,0.0,,2.0,,,,,,2 0,67 64,0 4,2 0
10,,Chad Anheliger,Muin Gafurov,1.0,47.0,,,,0.0,,1.0,,,,,,1 0,47 31,0 5,1 0
11,,Yoji Anjo,Ryan Gracie,0.0,0.0,,,,0.0,,0.0,,,,,,0 0,0 19,0 2,0 1
12,,Yoji Anjo,Matt Lindland,0.0,0.0,,,,0.0,,0.0,,,,,,0 0,0 17,0 0,0 0
13,,Yoji Anjo,Murilo Bustamante,0.0,0.0,,,,0.0,,0.0,,,,,,0 0,0 11,0 4,0 1
14,,Yoji Anjo,David Abbott,0.0,9.0,,,,0.0,,1.0,,,,,,0 0,9 13,0 3,1 0
15,,Magomed Ankalaev,Aleksandar Rakic,0.0,55.0,,,,0.0,,0.0,,,,,,0 0,55 53,0 0,0 0
16,,Magomed Ankalaev,Johnny Walker,1.0,39.0,,,,0.0,,0.0,,,,,,1 0,39 24,0 0,0 0
17,,Magomed Ankalaev,Johnny Walker,0.0,13.0,,,,1.0,,0.0,,,,,,0 0,13 14,1 0,0 0
18,,Magomed Ankalaev,Anthony Smith,0.0,46.0,,,,0.0,,0.0,,,,,,0 0,46 18,0 0,0 0
19,,Magomed Ankalaev,Thiago Santos,0.0,78.0,,,,1.0,,0.0,,,,,,0 1,78 60,1 0,0 0
20,,Magomed Ankalaev,Volkan Oezdemir,1.0,66.0,,,,1.0,,0.0,,,,,,1 0,66 48,1 0,0 0
21,,Magomed Ankalaev,Nikita Krylov,0.0,43.0,,,,3.0,,0.0,,,,,,0 0,43 47,3 1,0 0
22,,Magomed Ankalaev,Ion Cutelaba,2.0,21.0,,,,0.0,,0.0,,,,,,2 0,21 11,0 0,0 0
23,,Magomed Ankalaev,Ion Cutelaba,0.0,8.0,,,,0.0,,0.0,,,,,,0 0,8 5,0 0,0 0
24,,Magomed Ankalaev,Dalcha Lungiambula,1.0,44.0,,,,1.0,,0.0,,,,,,1 0,44 6,1 0,0 0
25,,Magomed Ankalaev,Klidson Abreu,1.0,30.0,,,,1.0,,0.0,,,,,,1 0,30 23,1 0,0 0
26,,Magomed Ankalaev,Marcin Prachnio,1.0,12.0,,,,0.0,,0.0,,,,,,1 0,12 3,0 0,0 0
27,,Magomed Ankalaev,Paul Craig,0.0,59.0,,,,0.0,,0.0,,,,,,0 0,59 18,0 2,0 1
28,,Gadzhimurad Antigulov,Maxim Grishin,0.0,12.0,,,,1.0,,0.0,,,,,,0 0,12 34,1 1,0 0
29,,Gadzhimurad Antigulov,Paul Craig,0.0,11.0,,,,1.0,,0.0,,,,,,0 0,11 2,1 0,0 1
30,,Gadzhimurad Antigulov,Michal Oleksiejczuk,0.0,6.0,,,,0.0,,0.0,,,,,,0 3,6 8,0 0,0 0
31,,Gadzhimurad Antigulov,Ion Cutelaba,0.0,12.0,,,,3.0,,0.0,,,,,,0 0,12 40,3 0,0 0
32,,Gadzhimurad Antigulov,Joachim Christensen,0.0,2.0,,,,1.0,,1.0,,,,,,0 0,2 1,1 0,1 0
33,,Gadzhimurad Antigulov,Marcos Rogerio de Lima,0.0,0.0,,,,1.0,,1.0,,,,,,0 0,0 2,1 0,1 0
34,,Adam Antolin,Casey Kenney,0.0,86.0,,,,0.0,,0.0,,,,,,0 0,86 75,0 0,0 1
35,,Adam Antolin,Ronald Carillo,,,,,,,,,,,,,,-- --,-- --,-- --,-- --
36,,Adam Antolin,Javi Alanis,,,,,,,,,,,,,,-- --,-- --,-- --,-- --
37,,Adam Antolin,Hugo Govea,,,,,,,,,,,,,,-- --,-- --,-- --,-- --
38,,Angelo Antonio,Mauricio Rua,0.0,1.0,,,,0.0,,0.0,,,,,,0 0,1 7,0 1,0 0
39,,Vanilto Antunes,Islam Dulatov,0.0,15.0,,,,0.0,,0.0,,,,,,0 1,15 39,0 1,0 0
40,,Azunna Anyanwu,Justin Ledet,0.0,37.0,,,,0.0,,0.0,,,,,,0 0,37 36,0 0,0 0
41,,Azunna Anyanwu,Greg Rebello,1.0,20.0,,,,1.0,,0.0,,,,,,1 0,20 21,1 0,0 0
42,,Shinsho Anzai,Jake Matthews,0.0,1.0,,,,0.0,,0.0,,,,,,0 0,1 12,0 1,0 1
43,,Shinsho Anzai,Luke Jumeau,0.0,51.0,,,,1.0,,0.0,,,,,,0 0,51 49,1 0,0 0
44,,Shinsho Anzai,Roger Zapata,0.0,23.0,,,,2.0,,0.0,,,,,,0 0,23 28,2 0,0 1
45,,Shinsho Anzai,Alberto Mina,0.0,31.0,,,,1.0,,0.0,,,,,,0 1,31 34,1 0,0 0
46,,Jin Aoi,ChangMin Yoon,0.0,24.0,,,,0.0,,0.0,,,,,,0 0,24 87,0 2,0 0
47,,Shinya Aoki,Antonio McKee,0.0,5.0,,,,2.0,,0.0,,,,,,0 0,5 3,2 1,0 0
48,,Shinya Aoki,Rob McCullough,0.0,4.0,,,,2.0,,1.0,,,,,,0 0,4 0,2 0,1 0
49,,Shinya Aoki,Rich Clementi,0.0,24.0,,,,3.0,,1.0,,,,,,0 0,24 3,3 0,1 1
50,,Shinya Aoki,Lyle Beerbohm,0.0,2.0,,,,1.0,,1.0,,,,,,0 0,2 1,1 0,1 0
51,,Shinya Aoki,Yokthai Sithoar,0.0,0.0,,,,1.0,,1.0,,,,,,0 0,0 0,1 0,1 0
52,,Shinya Aoki,Marcus Aurelio,0.0,17.0,,,,3.0,,0.0,,,,,,0 0,17 3,3 0,0 1
53,,Shinya Aoki,Mizuto Hirota,0.0,5.0,,,,1.0,,1.0,,,,,,0 0,5 0,1 0,1 0
54,,Shinya Aoki,Vitor Ribeiro,0.0,31.0,,,,0.0,,0.0,,,,,,0 0,31 11,0 1,0 0
55,,Shinya Aoki,Hayato Sakurai,0.0,0.0,,,,1.0,,0.0,,,,,,0 0,0 7,1 0,0 0
56,,Shinya Aoki,David Gardner,0.0,2.0,,,,1.0,,3.0,,,,,,0 0,2 1,1 0,3 0
57,,Shinya Aoki,Eddie Alvarez,0.0,1.0,,,,0.0,,2.0,,,,,,0 0,1 2,0 1,2 0
58,,Shinya Aoki,Todd Moore,0.0,2.0,,,,1.0,,1.0,,,,,,0 0,2 1,1 0,1 0
59,,Shinya Aoki,Caol Uno,0.0,4.0,,,,2.0,,5.0,,,,,,0 0,4 17,2 0,5 0
60,,Shinya Aoki,Katsuhiko Nagata,0.0,8.0,,,,2.0,,2.0,,,,,,0 0,8 0,2 0,2 0
61,,Shinya Aoki,Gesias Cavalcante,0.0,8.0,,,,1.0,,9.0,,,,,,0 0,8 20,1 0,9 0
62,,Shinya Aoki,Gesias Cavalcante,0.0,4.0,,,,0.0,,0.0,,,,,,0 0,4 9,0 1,0 0
63,,Shinya Aoki,Bu-Kyung Jung,0.0,24.0,,,,1.0,,6.0,,,,,,0 0,24 3,1 2,6 2
64,,Shinya Aoki,Brian Lo-A-Njoe,0.0,0.0,,,,1.0,,1.0,,,,,,0 0,0 6,1 0,1 0
65,,Shinya Aoki,Akira Kikuchi,0.0,6.0,,,,0.0,,5.0,,,,,,0 0,6 55,0 2,5 0
66,,Shinya Aoki,Joachim Hansen,0.0,6.0,,,,2.0,,1.0,,,,,,0 0,6 2,2 0,1 0
67,,Shinya Aoki,Clay French,0.0,5.0,,,,0.0,,2.0,,,,,,0 0,5 6,0 0,2 0
68,,Shinya Aoki,George Sotiropoulos,0.0,1.0,,,,0.0,,4.0,,,,,,0 0,1 6,0 0,4 0
69,,Shinya Aoki,Jason Black,0.0,2.0,,,,0.0,,1.0,,,,,,0 0,2 0,0 0,1 0
70,,Shinya Aoki,Kuniyoshi Hironaka,0.0,13.0,,,,0.0,,2.0,,,,,,0 0,13 2,0 0,2 0
71,,Shinya Aoki,Keith Wisniewski,0.0,1.0,,,,0.0,,1.0,,,,,,0 0,1 8,0 0,1 0
72,,Shinya Aoki,Jutaro Nakao,0.0,4.0,,,,2.0,,0.0,,,,,,0 1,4 5,2 0,0 0
73,,Aoriqileng,Cody Gibson,1.0,5.0,,,,0.0,,0.0,,,,,,1 0,5 3,0 0,0 0
74,,Aoriqileng,Raul Rosas Jr.,0.0,22.0,,,,0.0,,0.0,,,,,,0 0,22 41,0 3,0 0
75,,Aoriqileng,Daniel Marcos,0.0,45.0,,,,0.0,,0.0,,,,,,0 0,45 81,0 0,0 0
76,,Aoriqileng,Johnny Munoz,1.0,44.0,,,,2.0,,0.0,,,,,,1 0,44 7,2 4,0 3
77,,Aoriqileng,Aiemann Zahabi,0.0,5.0,,,,0.0,,0.0,,,,,,0 1,5 5,0 0,0 0
78,,Aoriqileng,Jay Perrin,0.0,72.0,,,,0.0,,0.0,,,,,,0 0,72 88,0 3,0 0
79,,Aoriqileng,Cameron Else,1.0,37.0,,,,1.0,,0.0,,,,,,1 0,37 6,1 0,0 0
80,,Aoriqileng,Cody Durden,0.0,65.0,,,,1.0,,0.0,,,,,,0 0,65 60,1 5,0 0
81,,Aoriqileng,Jeff Molina,0.0,116.0,,,,3.0,,0.0,,,,,,0 2,116 189,3 0,0 0
82,,Josh Appelt,Jeff Hughes,0.0,6.0,,,,0.0,,0.0,,,,,,0 1,6 51,0 2,0 0
83,,Erik Apple,Ryan Larson,,,,,,,,,,,,,,-- --,-- --,-- --,-- --
84,,Erik Apple,Bobby Voelker,,,,,,,,,,,,,,-- --,-- --,-- --,-- --
85,,Erik Apple,Brock Larson,0.0,0.0,,,,0.0,,2.0,,,,,,0 0,0 2,0 1,2 2
86,,Kenji Arai,Jens Pulver,0.0,35.0,,,,0.0,,0.0,,,,,,0 1,35 41,0 0,0 0
87,,Romie Aram,Dave Strasser,1.0,24.0,,,,2.0,,0.0,,,,,,1 0,24 60,2 1,0 0
88,,Romie Aram,Joe Stevenson,0.0,30.0,,,,3.0,,0.0,,,,,,0 0,30 25,3 0,0 2
89,,Felipe Arantes,Song Yadong,0.0,8.0,,,,0.0,,0.0,,,,,,0 1,8 39,0 1,0 1
90,,Felipe Arantes,Josh Emmett,0.0,43.0,,,,0.0,,0.0,,,,,,0 4,43 67,0 1,0 0
91,,Felipe Arantes,Erik Perez,0.0,34.0,,,,0.0,,2.0,,,,,,0 0,34 36,0 3,2 0
92,,Felipe Arantes,Jerrod Sanders,0.0,3.0,,,,0.0,,1.0,,,,,,0 0,3 6,0 1,1 0
93,,Felipe Arantes,Yves Jabouin,0.0,4.0,,,,0.0,,1.0,,,,,,0 0,4 5,0 2,1 0
94,,Felipe Arantes,Andre Fili,0.0,29.0,,,,3.0,,1.0,,,,,,0 0,29 42,3 5,1 1
95,,Felipe Arantes,Maximo Blanco,1.0,39.0,,,,1.0,,1.0,,,,,,1 0,39 44,1 3,1 0
96,,Felipe Arantes,Edimilson Souza,0.0,35.0,,,,3.0,,1.0,,,,,,0 0,35 52,3 0,1 0
97,,Felipe Arantes,Godofredo Pepey,0.0,27.0,,,,0.0,,0.0,,,,,,0 0,27 4,0 1,0 0
98,,Felipe Arantes,Milton Vieira,0.0,38.0,,,,2.0,,0.0,,,,,,0 0,38 30,2 1,0 0
99,,Felipe Arantes,Antonio Carvalho,0.0,53.0,,,,0.0,,0.0,,,,,,0 0,53 37,0 0,0 0
100,,Felipe Arantes,Iuri Alcantara,0.0,29.0,,,,0.0,,0.0,,,,,,0 0,29 22,0 6,0 0
101,,Igor Araujo,Sean Strickland,0.0,39.0,,,,0.0,,0.0,,,,,,0 1,39 71,0 3,0 2
102,,Igor Araujo,George Sullivan,0.0,8.0,,,,2.0,,0.0,,,,,,0 0,8 43,2 1,0 0
103,,Igor Araujo,Danny Mitchell,0.0,12.0,,,,0.0,,1.0,,,,,,0 0,12 18,0 0,1 5
104,,Igor Araujo,Ildemar Alcantara,0.0,21.0,,,,1.0,,1.0,,,,,,0 0,21 18,1 3,1 3
105,,Viviane Araujo,Tracy Cortez,0.0,22.0,,,,0.0,,0.0,,,,,,0 0,22 65,0 3,0 1
106,,Viviane Araujo,Karine Silva,0.0,48.0,,,,3.0,,1.0,,,,,,0 0,48 58,3 1,1 1
107,,Viviane Araujo,Natalia Silva,0.0,26.0,,,,1.0,,0.0,,,,,,0 0,26 38,1 0,0 0
108,,Viviane Araujo,Jennifer Maia,0.0,24.0,,,,2.0,,1.0,,,,,,0 0,24 41,2 2,1 0
109,,Viviane Araujo,Amanda Ribas,0.0,46.0,,,,0.0,,2.0,,,,,,0 0,46 98,0 2,2 0
110,,Viviane Araujo,Alexa Grasso,0.0,126.0,,,,2.0,,0.0,,,,,,0 0,126 153,2 0,0 0
111,,Viviane Araujo,Andrea Lee,0.0,39.0,,,,3.0,,2.0,,,,,,0 1,39 47,3 1,2 0
112,,Viviane Araujo,Katlyn Cerminara,0.0,89.0,,,,1.0,,1.0,,,,,,0 0,89 127,1 0,1 0
113,,Viviane Araujo,Roxanne Modafferi,0.0,86.0,,,,4.0,,1.0,,,,,,0 0,86 46,4 0,1 0
114,,Viviane Araujo,Montana De La Rosa,0.0,82.0,,,,0.0,,0.0,,,,,,0 0,82 85,0 1,0 0
115,,Viviane Araujo,Jessica Eye,0.0,56.0,,,,2.0,,0.0,,,,,,0 0,56 98,2 0,0 0
116,,Viviane Araujo,Alexis Davis,0.0,67.0,,,,2.0,,0.0,,,,,,0 0,67 68,2 0,0 0
117,,Viviane Araujo,Talita Bernardo,1.0,61.0,,,,3.0,,0.0,,,,,,1 0,61 46,3 0,0 0
118,,Julio Arce,Herbert Burns,2.0,29.0,,,,0.0,,0.0,,,,,,2 0,29 15,0 0,0 0
119,,Julio Arce,Montel Jackson,0.0,26.0,,,,1.0,,0.0,,,,,,0 1,26 48,1 0,0 0
120,,Julio Arce,Daniel Santos,0.0,127.0,,,,0.0,,0.0,,,,,,0 0,127 49,0 0,0 0
121,,Julio Arce,Song Yadong,0.0,13.0,,,,0.0,,0.0,,,,,,0 1,13 30,0 0,0 0
122,,Julio Arce,Andre Ewell,0.0,42.0,,,,0.0,,0.0,,,,,,0 0,42 31,0 0,0 0
123,,Julio Arce,Hakeem Dawodu,0.0,32.0,,,,1.0,,0.0,,,,,,0 0,32 55,1 0,0 0
124,,Julio Arce,Julian Erosa,1.0,74.0,,,,1.0,,0.0,,,,,,1 0,74 43,1 0,0 0
125,,Julio Arce,Sheymon Moraes,0.0,25.0,,,,1.0,,2.0,,,,,,0 2,25 32,1 0,2 0
126,,Julio Arce,Daniel Teymur,0.0,63.0,,,,0.0,,1.0,,,,,,0 0,63 37,0 0,1 0
127,,Julio Arce,Dan Ige,0.0,72.0,,,,0.0,,0.0,,,,,,0 0,72 35,0 1,0 0
128,,Julio Arce,Peter Petties,0.0,63.0,,,,0.0,,0.0,,,,,,0 0,63 20,0 0,0 0
129,,Alice Ardelean,Montserrat Conejo Ruiz,0.0,138.0,,,,1.0,,0.0,,,,,,0 0,138 85,1 1,0 0
130,,Alice Ardelean,Rayanne dos Santos,0.0,154.0,,,,1.0,,0.0,,,,,,0 0,154 78,1 1,0 0
131,,Alice Ardelean,Melissa Martinez,0.0,92.0,,,,0.0,,0.0,,,,,,0 0,92 72,0 0,0 0
132,,Alice Ardelean,Shauna Bannon,0.0,57.0,,,,2.0,,0.0,,,,,,0 0,57 77,2 0,0 0
133,,Tristan Arenal,Tommy Petersen,,,,,,,,,,,,,,-- --,-- --,-- --,-- --
134,,Dan Argueta,Cody Haddon,0.0,54.0,,,,4.0,,1.0,,,,,,0 0,54 140,4 2,1 0
135,,Dan Argueta,Jean Matsumoto,0.0,14.0,,,,9.0,,0.0,,,,,,0 0,14 19,9 2,0 1
136,,Dan Argueta,Miles Johns,0.0,33.0,,,,2.0,,2.0,,,,,,0 0,33 43,2 2,2 0
137,,Dan Argueta,Ronnie Lawrence,0.0,4.0,,,,1.0,,2.0,,,,,,0 0,4 1,1 0,2 0
138,,Dan Argueta,Nick Aguirre,0.0,47.0,,,,4.0,,2.0,,,,,,0 0,47 14,4 0,2 1
139,,Dan Argueta,Damon Jackson,0.0,27.0,,,,1.0,,0.0,,,,,,0 0,27 32,1 2,0 1
140,,Hashem Arkhagha,AJ Dobson,0.0,8.0,,,,0.0,,0.0,,,,,,0 1,8 39,0 1,0 1
141,,Andrei Arlovski,Martin Buday,0.0,74.0,,,,0.0,,0.0,,,,,,0 0,74 54,0 0,0 0
142,,Andrei Arlovski,Waldo Cortes Acosta,0.0,58.0,,,,0.0,,0.0,,,,,,0 0,58 49,0 0,0 0
143,,Andrei Arlovski,Don'Tale Mayes,0.0,24.0,,,,0.0,,0.0,,,,,,0 1,24 25,0 0,0 0
144,,Andrei Arlovski,Marcos Rogerio de Lima,0.0,2.0,,,,0.0,,0.0,,,,,,0 1,2 6,0 0,0 1
145,,Andrei Arlovski,Jake Collier,0.0,91.0,,,,0.0,,0.0,,,,,,0 0,91 93,0 2,0 0
146,,Andrei Arlovski,Jared Vanderaa,0.0,64.0,,,,0.0,,0.0,,,,,,0 0,64 70,0 0,0 0
147,,Andrei Arlovski,Carlos Felipe,0.0,83.0,,,,0.0,,0.0,,,,,,0 0,83 73,0 0,0 0
148,,Andrei Arlovski,Chase Sherman,0.0,105.0,,,,0.0,,0.0,,,,,,0 0,105 88,0 0,0 0
149,,Andrei Arlovski,Tom Aspinall,0.0,20.0,,,,0.0,,0.0,,,,,,0 0,20 37,0 1,0 1
150,,Andrei Arlovski,Tanner Boser,0.0,34.0,,,,0.0,,0.0,,,,,,0 0,34 68,0 0,0 0
151,,Andrei Arlovski,Philipe Lins,0.0,50.0,,,,0.0,,0.0,,,,,,0 0,50 41,0 0,0 0
152,,Andrei Arlovski,Jairzinho Rozenstruik,0.0,4.0,,,,0.0,,0.0,,,,,,0 1,4 5,0 0,0 0
153,,Andrei Arlovski,Ben Rothwell,0.0,152.0,,,,0.0,,0.0,,,,,,0 0,152 70,0 0,0 0
154,,Andrei Arlovski,Augusto Sakai,0.0,75.0,,,,0.0,,0.0,,,,,,0 0,75 42,0 0,0 0
155,,Andrei Arlovski,Walt Harris,0.0,44.0,,,,0.0,,0.0,,,,,,0 0,44 24,0 1,0 0
156,,Andrei Arlovski,Shamil Abdurakhimov,0.0,18.0,,,,2.0,,0.0,,,,,,0 0,18 32,2 2,0 0
157,,Andrei Arlovski,Tai Tuivasa,0.0,51.0,,,,0.0,,0.0,,,,,,0 1,51 54,0 0,0 0
158,,Andrei Arlovski,Stefan Struve,0.0,46.0,,,,4.0,,0.0,,,,,,0 0,46 34,4 0,0 0
159,,Andrei Arlovski,Junior Albini,0.0,92.0,,,,0.0,,0.0,,,,,,0 0,92 48,0 0,0 0
160,,Andrei Arlovski,Marcin Tybura,0.0,28.0,,,,0.0,,0.0,,,,,,0 0,28 51,0 2,0 0
161,,Andrei Arlovski,Francis Ngannou,0.0,3.0,,,,0.0,,0.0,,,,,,0 1,3 8,0 0,0 0
162,,Andrei Arlovski,Josh Barnett,0.0,38.0,,,,1.0,,0.0,,,,,,0 0,38 53,1 1,0 1
163,,Andrei Arlovski,Alistair Overeem,0.0,16.0,,,,0.0,,0.0,,,,,,0 1,16 23,0 1,0 0
164,,Andrei Arlovski,Stipe Miocic,0.0,7.0,,,,0.0,,0.0,,,,,,0 1,7 11,0 0,0 0
165,,Andrei Arlovski,Frank Mir,0.0,39.0,,,,0.0,,0.0,,,,,,0 0,39 24,0 1,0 0
166,,Andrei Arlovski,Travis Browne,1.0,51.0,,,,0.0,,0.0,,,,,,1 1,51 15,0 0,0 0
167,,Andrei Arlovski,Antonio Silva,1.0,13.0,,,,0.0,,0.0,,,,,,1 0,13 6,0 0,0 0
168,,Andrei Arlovski,Brendan Schaub,0.0,12.0,,,,0.0,,0.0,,,,,,0 0,12 30,0 1,0 0
169,,Andrei Arlovski,Sergei Kharitonov,0.0,13.0,,,,0.0,,0.0,,,,,,0 1,13 21,0 0,0 0
170,,Andrei Arlovski,Antonio Silva,0.0,30.0,,,,0.0,,0.0,,,,,,0 0,30 47,0 2,0 0
171,,Andrei Arlovski,Brett Rogers,0.0,2.0,,,,0.0,,0.0,,,,,,0 1,2 3,0 0,0 0
172,,Andrei Arlovski,Fedor Emelianenko,0.0,15.0,,,,0.0,,0.0,,,,,,0 1,15 5,0 0,0 0
173,,Andrei Arlovski,Roy Nelson,1.0,24.0,,,,0.0,,0.0,,,,,,1 0,24 10,0 0,0 1
174,,Andrei Arlovski,Ben Rothwell,1.0,52.0,,,,2.0,,1.0,,,,,,1 0,52 18,2 0,1 0
175,,Andrei Arlovski,Jake O'Brien,0.0,14.0,,,,1.0,,0.0,,,,,,0 0,14 4,1 2,0 0
176,,Andrei Arlovski,Fabricio Werdum,1.0,28.0,,,,0.0,,0.0,,,,,,1 0,28 23,0 0,0 0
177,,Andrei Arlovski,Marcio Cruz,0.0,7.0,,,,0.0,,1.0,,,,,,0 0,7 0,0 0,1 2
178,,Andrei Arlovski,Wesley Correira,1.0,51.0,,,,0.0,,0.0,,,,,,1 0,51 4,0 0,0 0
179,,Andrei Arlovski,Vladimir Matyushenko,2.0,9.0,,,,0.0,,0.0,,,,,,2 0,9 5,0 0,0 0
180,,Andrei Arlovski,Ian Freeman,1.0,14.0,,,,0.0,,0.0,,,,,,1 0,14 1,0 0,0 0
181,,Andrei Arlovski,Pedro Rizzo,0.0,38.0,,,,0.0,,0.0,,,,,,0 1,38 27,0 0,0 0
182,,Andrei Arlovski,Ricco Rodriguez,0.0,11.0,,,,0.0,,0.0,,,,,,0 0,11 30,0 2,0 1
183,,Andrei Arlovski,Aaron Brink,0.0,2.0,,,,1.0,,2.0,,,,,,0 0,2 0,1 0,2 0
184,,Garrett Armfield,Serhiy Sidey,0.0,71.0,,,,4.0,,1.0,,,,,,0 0,71 68,4 0,1 3
185,,Garrett Armfield,Brady Hiestand,1.0,49.0,,,,0.0,,1.0,,,,,,1 0,49 22,0 6,1 3
186,,Garrett Armfield,Brad Katona,0.0,105.0,,,,0.0,,0.0,,,,,,0 0,105 64,0 4,0 0
187,,Garrett Armfield,Toshiomi Kazama,1.0,45.0,,,,0.0,,0.0,,,,,,1 0,45 15,0 0,0 0
188,,Garrett Armfield,David Onama,0.0,21.0,,,,0.0,,0.0,,,,,,0 0,21 29,0 2,0 1
189,,Joey Armstrong,Sam Spengler,,,,,,,,,,,,,,-- --,-- --,-- --,-- --
190,,Austin Arnett,Shane Young,0.0,77.0,,,,0.0,,0.0,,,,,,0 1,77 120,0 0,0 0
191,,Austin Arnett,Humberto Bandenay,0.0,74.0,,,,1.0,,0.0,,,,,,0 0,74 30,1 2,0 0
192,,Austin Arnett,Hakeem Dawodu,0.0,23.0,,,,0.0,,0.0,,,,,,0 0,23 75,0 0,0 0
193,,Austin Arnett,Cory Sandhagen,0.0,32.0,,,,1.0,,0.0,,,,,,0 1,32 80,1 1,0 0
194,,Austin Arnett,Brandon Davis,0.0,105.0,,,,0.0,,1.0,,,,,,0 0,105 134,0 0,1 0
195,,Ricardo Arona,Rameau Thierry Sokoudjou,0.0,2.0,,,,0.0,,0.0,,,,,,0 1,2 9,0 0,0 0
196,,Ricardo Arona,Alistair Overeem,0.0,8.0,,,,0.0,,0.0,,,,,,0 0,8 5,0 0,0 0
197,,Ricardo Arona,Wanderlei Silva,0.0,25.0,,,,2.0,,0.0,,,,,,0 0,25 21,2 0,0 0
198,,Ricardo Arona,Kazushi Sakuraba,1.0,48.0,,,,2.0,,0.0,,,,,,1 0,48 10,2 1,0 0
199,,Ricardo Arona,Dean Lister,0.0,22.0,,,,0.0,,3.0,,,,,,0 0,22 16,0 2,3 2
200,,Ricardo Arona,Sergey Ignatov,0.0,28.0,,,,1.0,,2.0,,,,,,0 0,28 3,1 0,2 0
201,,Ricardo Arona,Quinton Jackson,0.0,8.0,,,,0.0,,3.0,,,,,,0 0,8 9,0 1,3 0
202,,Ricardo Arona,Murilo Rua,0.0,23.0,,,,7.0,,2.0,,,,,,0 0,23 19,7 0,2 0
203,,Ricardo Arona,Dan Henderson,1.0,34.0,,,,4.0,,1.0,,,,,,1 0,34 20,4 1,1 2
204,,Ricardo Arona,Guy Mezger,0.0,28.0,,,,2.0,,1.0,,,,,,0 0,28 17,2 1,1 0
205,,Eli Aronov,Zach Reese,0.0,11.0,,,,1.0,,0.0,,,,,,0 0,11 8,1 0,0 1
206,,Chalid Arrab,Kazuhiro Nakamura,0.0,7.0,,,,0.0,,0.0,,,,,,0 0,7 1,0 2,0 2
207,,Chalid Arrab,Rodney Faverus,0.0,16.0,,,,3.0,,1.0,,,,,,0 0,16 23,3 3,1 0
208,,Akbarh Arreola,Jake Matthews,1.0,21.0,,,,0.0,,0.0,,,,,,1 0,21 62,0 1,0 0
209,,Akbarh Arreola,Francisco Trinaldo,0.0,34.0,,,,0.0,,0.0,,,,,,0 0,34 39,0 3,0 0
210,,Akbarh Arreola,Yves Edwards,1.0,12.0,,,,1.0,,1.0,,,,,,1 0,12 5,1 0,1 0
211,,Akbarh Arreola,Tiago dos Santos e Silva,0.0,30.0,,,,2.0,,0.0,,,,,,0 0,30 62,2 0,0 0
212,,Matt Arroyo,Dan Cramer,0.0,16.0,,,,2.0,,5.0,,,,,,0 0,16 24,2 0,5 0
213,,Matt Arroyo,Matt Brown,0.0,26.0,,,,2.0,,0.0,,,,,,0 0,26 32,2 0,0 1
214,,Matt Arroyo,John Kolosci,0.0,4.0,,,,0.0,,5.0,,,,,,0 0,4 1,0 0,5 0
215,,Antonio Arroyo,Joaquin Buckley,0.0,21.0,,,,0.0,,0.0,,,,,,0 1,21 41,0 1,0 0
216,,Antonio Arroyo,Deron Winn,0.0,45.0,,,,0.0,,0.0,,,,,,0 0,45 20,0 12,0 0
217,,Antonio Arroyo,Andre Muniz,0.0,29.0,,,,1.0,,0.0,,,,,,0 0,29 22,1 3,0 2
218,,Antonio Arroyo,Stephen Regman,1.0,42.0,,,,0.0,,1.0,,,,,,1 0,42 12,0 2,1 0
219,,Antonio Arroyo,Diego Henrique da Silva,0.0,49.0,,,,4.0,,0.0,,,,,,0 0,49 38,4 0,0 0
220,,Gilles Arsene,Kazushi Sakuraba,0.0,1.0,,,,0.0,,0.0,,,,,,0 1,1 42,0 0,0 1
221,,Cesar Arzamendia,Damien Brown,0.0,17.0,,,,0.0,,1.0,,,,,,0 2,17 22,0 0,1 0
222,,Cesar Arzamendia,Marco Polo Reyes,0.0,16.0,,,,3.0,,0.0,,,,,,0 1,16 10,3 0,0 0
223,,Kai Asakura,Tim Elliott,0.0,21.0,,,,0.0,,0.0,,,,,,0 0,21 27,0 2,0 2
